title,industry,release_year,studio,language,budget,revenue,unit
Avatar,Hollywood,2009,20th Century Fox,English,237.0,2923.7,Million
Baahubali 2: The Conclusion,Tollywood,2017,Arka Media Works,Telugu,250.0,1810.0,Crore
Inception,Hollywood,2010,Warner Bros.,English,160.0,836.8,Million
Dangal,Bollywood,2016,Aamir Khan Productions,Hindi,70.0,2024.0,Crore
Parasite,Korean,2019,CJ Entertainment,Korean,15.5,263.1,Million
The Dark Knight,Hollywood,2008,Warner Bros.,English,185.0,1006.0,Million
RRR,Tollywood,2022,DVV Entertainment,Telugu,550.0,1316.0,Crore
Sholay,Bollywood,1975,United Producers,Hindi,3.0,35.0,Crore
Spiderman: No Way Home,Hollywood,2021,Columbia Pictures,English,200.0,1922.0,Million
K.G.F: Chapter 2,Sandalwood,2022,Hombale Films,Kannada,100.0,1250.0,Crore
